--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
080.310  002.163  000.676: require('telescope.sorters')
081.701  007.828  001.871: require('telescope.config')
085.546  000.133  000.133: require('nvim-treesitter.utils')
088.256  000.577  000.577: require('vim.treesitter.language')
088.753  000.486  000.486: require('vim.func')
089.089  000.326  000.326: require('vim.func._memoize')
089.129  001.745  000.355: require('vim.treesitter.query')
089.248  000.117  000.117: require('vim.treesitter._range')
089.266  002.532  000.670: require('vim.treesitter.languagetree')
089.272  002.976  000.444: require('vim.treesitter')
089.764  004.214  001.239: require('nvim-treesitter.parsers')
090.743  000.082  000.082: require('nvim-treesitter.compat')
090.933  000.104  000.104: require('nvim-treesitter.ts_utils')
090.939  000.193  000.089: require('nvim-treesitter.tsrange')
091.312  000.371  000.371: require('nvim-treesitter.caching')
091.321  000.782  000.136: require('nvim-treesitter.query')
091.332  001.285  000.504: require('nvim-treesitter.configs')
091.334  001.567  000.282: require('nvim-treesitter.info')
091.665  000.329  000.329: require('nvim-treesitter.shell_command_selectors')
091.685  006.598  000.354: require('nvim-treesitter.install')
091.813  000.099  000.099: require('nvim-treesitter.statusline')
091.904  000.089  000.089: require('nvim-treesitter.query_predicates')
091.907  007.641  000.855: require('nvim-treesitter')
092.172  000.260  000.260: require('vim.iter')
092.716  009.032  001.131: sourcing /home/christopher/.local/share/nvim/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
092.723  009.075  000.043: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
092.732  000.003  000.003: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
092.748  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
093.025  000.003  000.003: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
093.036  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
093.428  000.003  000.003: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
093.439  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
094.719  000.143  000.143: require('lualine_require')
095.546  002.103  001.961: require('lualine')
095.843  000.017  000.017: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
098.933  000.618  000.618: require('catppuccin.utils.lualine')
099.313  000.377  000.377: require('catppuccin.palettes')
100.195  000.880  000.880: require('catppuccin')
100.413  000.216  000.216: require('catppuccin.palettes.mocha')
100.880  000.012  000.012: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
